"","idHash","date","greek","athlete","financialAid","gender","geography","highschool","legacy","major","orientation","race","year","school","q5","q1","q3","q6","q2","q7","q8","q4","ipedsId","caseid","weight"
"49","d842ee3d42227bf42826b6e303624bf5f80d3116ddcf9e6d1eca84949a22e4c6",2019-03-29 03:24:55,4,3,2,2,5,1,2,12,2,4,3,354,4,2,2,2,9,3,2,3,110714,49,0.618927107854343
"50","8940f0f6a79bcf16ad1edca56642b982a3826b35cb8036e364b4b246f4ae1a4c",2019-03-29 03:24:59,4,3,1,2,4,1,1,15,2,7,2,394,2,2,1,4,19,2,1,2,100858,50,0.954341333290293
"51","7fcb9e8e7fb955332d0bf8f22be648cf0c8ef97d2bda8447725385fd06d47269",2019-03-29 03:25:06,2,3,1,2,4,1,2,48,2,7,1,140,4,3,2,3,4,4,2,1,110680,51,0.872604337398202
"52","0cbbfd58aa0c7c0650bdb7f118df071a9638af92d64c9ea294cbbe76e53c5c7c",2019-03-29 03:25:22,4,3,1,1,1,1,2,27,2,4,4,16,1,2,1,4,19,2,1,2,168148,52,0.576086594719876
"53","66685344ebd686a54540b06f5d2f07b1fb27f891f3704f44e25969f7d8217776",2019-03-29 03:25:38,4,3,2,2,7,2,2,19,2,7,3,91,4,2,2,2,1,4,1,1,228778,53,1.02060044958806
"54","b314966d80aa91d8b671c294521c2eca442d1334bcc6db664f8a0509ff62b354",2019-03-29 03:25:40,4,3,2,2,3,1,2,5752,2,7,4,104,4,2,2,2,19,4,2,1,204796,54,1.34919434904202
"55","c2b5f3700639dfa254c151a6b292ad06ee6545282d69bda9a78f1fd7697d0338",2019-03-29 03:25:44,4,3,1,2,5,1,2,13,3,2,4,228,4,2,2,2,1,3,2,1,NA,55,3.00002917592654
"56","ed1e12575c1cb580bb415e85f29ffcae31d3e92781917c878fc8b0d31f72312e",2019-03-29 03:26:19,4,3,1,1,1,2,2,52,2,7,2,80,4,1,2,3,1,4,1,1,182670,56,0.671944248215428
"57","3230f1200b4a7f1b2e7d4a944da2427ae7757ccdda4f6174a5f1b62583717d25",2019-03-29 03:26:30,1,3,2,1,3,1,2,558,2,7,2,355,2,1,1,4,19,4,2,2,204006,57,0.671944248215428
"58","3ca125ec72dfa78b4aabed9b3132920f121678cde05ded1f0566bb2891ef99b8",2019-03-29 03:27:01,4,3,1,2,3,1,2,4757,2,7,2,419,4,1,2,1,1,4,2,1,240444,58,0.954341333290293
